Date,Product_Name,Category,Region,Units_Sold,Revenue,Cost,Profit,Customer_Segment,Discount
2023-01-01,Dumbbells,Sports,North,3,748.63,499.09,249.54,Business,0.1
2023-01-01,Cookbook,Books,West,2,84.45,50.67,33.78,Enterprise,0.0
2023-01-01,Basketball,Sports,Central,3,143.84,95.89,47.95,Consumer,0.1
2023-01-01,Jacket,Clothing,North,7,968.72,726.54,242.18,Enterprise,0.2
2023-01-01,Shoes,Clothing,South,2,362.29,217.38,144.92,Consumer,0.0
2023-01-01,Basketball,Sports,North,2,432.64,324.48,108.16,Enterprise,0.2
2023-01-01,Dumbbells,Sports,West,1,130.27,78.16,52.11,Consumer,0.0
2023-01-01,Cookbook,Books,South,1,36.0,21.6,14.4,Business,0.0
2023-01-01,Biography,Books,East,7,217.33,130.4,86.93,Enterprise,0.0
2023-01-01,Cushion,Home & Garden,West,6,961.32,576.79,384.53,Enterprise,0.0
2023-01-01,Tennis Racket,Sports,West,4,210.79,140.53,70.26,Consumer,0.1
2023-01-01,Yoga Mat,Sports,Central,1,101.15,86.7,14.45,Consumer,0.3
2023-01-01,Dress,Clothing,Central,2,307.24,184.34,122.9,Consumer,0.0
2023-01-01,Headphones,Electronics,North,2,634.51,380.71,253.81,Enterprise,0.0
2023-01-01,Tennis Racket,Sports,West,3,277.56,208.17,69.39,Business,0.2
2023-01-01,Sofa,Home & Garden,East,3,1338.4,803.04,535.36,Business,0.0
2023-01-01,Yoga Mat,Sports,South,3,605.95,363.57,242.38,Business,0.0
2023-01-01,Yoga Mat,Sports,South,7,914.62,685.97,228.66,Enterprise,0.2
2023-01-01,Dress,Clothing,South,2,369.28,221.57,147.71,Business,0.0
2023-01-01,Laptop,Electronics,South,2,1027.53,616.52,411.01,Business,0.0
2023-01-01,Lamp,Home & Garden,North,7,2162.46,1297.47,864.98,Business,0.0
2023-01-01,Shoes,Clothing,East,4,211.05,126.63,84.42,Business,0.0
2023-01-01,Lamp,Home & Garden,West,3,511.99,307.2,204.8,Business,0.0
2023-01-01,Yoga Mat,Sports,West,3,558.09,334.86,223.24,Enterprise,0.0
2023-01-01,Non-Fiction,Books,East,2,86.31,57.54,28.77,Consumer,0.1
2023-01-01,Cushion,Home & Garden,Central,1,51.85,31.11,20.74,Consumer,0.0
2023-01-01,Cushion,Home & Garden,North,5,497.73,426.63,71.1,Enterprise,0.3
2023-01-01,Fiction,Books,North,3,78.85,47.31,31.54,Business,0.0
2023-01-01,Coffee Table,Home & Garden,North,1,244.44,146.66,97.78,Enterprise,0.0
2023-01-01,Smartwatch,Electronics,West,3,1403.07,1052.31,350.77,Business,0.2
2023-01-01,Coffee Table,Home & Garden,Central,1,444.45,266.67,177.78,Consumer,0.0
2023-01-01,Cookbook,Books,East,4,42.73,28.49,14.24,Consumer,0.1
2023-01-01,Tennis Racket,Sports,Central,1,64.15,38.49,25.66,Enterprise,0.0
2023-01-01,Dress,Clothing,South,3,473.07,283.84,189.23,Business,0.0
2023-01-01,Cookbook,Books,Central,1,44.3,29.53,14.77,Enterprise,0.1
2023-01-01,Laptop,Electronics,North,4,2266.91,1511.28,755.64,Consumer,0.1
2023-01-01,Smartphone,Electronics,West,1,1060.06,636.04,424.02,Business,0.0
2023-01-01,Dumbbells,Sports,North,3,808.18,538.79,269.39,Business,0.1
2023-01-01,Fiction,Books,Central,7,210.39,126.24,84.16,Business,0.0
2023-01-02,Jeans,Clothing,South,3,345.15,207.09,138.06,Business,0.0
2023-01-02,Cushion,Home & Garden,East,2,798.32,478.99,319.33,Business,0.0
2023-01-02,Cookbook,Books,North,2,84.94,50.96,33.98,Business,0.0
2023-01-02,Non-Fiction,Books,West,2,90.29,54.17,36.11,Enterprise,0.0
2023-01-02,Jeans,Clothing,West,3,228.96,137.38,91.58,Enterprise,0.0
2023-01-02,Dress,Clothing,North,4,541.09,324.65,216.43,Enterprise,0.0
2023-01-02,Dress,Clothing,West,1,65.94,39.57,26.38,Enterprise,0.0
2023-01-02,Headphones,Electronics,West,5,5598.4,3359.04,2239.36,Consumer,0.0
2023-01-02,Dumbbells,Sports,South,2,422.81,253.69,169.13,Business,0.0
2023-01-02,Tennis Racket,Sports,West,2,258.14,154.88,103.25,Business,0.0
2023-01-02,Cookbook,Books,West,2,57.42,34.45,22.97,Consumer,0.0
2023-01-02,Cookbook,Books,North,4,140.1,84.06,56.04,Consumer,0.0
2023-01-02,Dumbbells,Sports,West,1,179.52,107.71,71.81,Business,0.0
2023-01-02,Sofa,Home & Garden,South,4,831.3,498.78,332.52,Business,0.0
2023-01-02,Yoga Mat,Sports,West,2,273.32,163.99,109.33,Enterprise,0.0
2023-01-02,Coffee Table,Home & Garden,North,1,454.66,272.8,181.86,Enterprise,0.0
2023-01-02,Smartwatch,Electronics,North,4,2219.43,1331.66,887.77,Consumer,0.0
2023-01-02,Lamp,Home & Garden,West,4,1777.05,1066.23,710.82,Consumer,0.0
2023-01-02,Plant Pot,Home & Garden,South,1,477.81,286.68,191.12,Business,0.0
2023-01-02,T-Shirt,Clothing,Central,1,24.46,14.68,9.78,Consumer,0.0
2023-01-02,Tennis Racket,Sports,South,2,290.53,174.32,116.21,Consumer,0.0
2023-01-02,Basketball,Sports,East,2,484.06,322.71,161.35,Consumer,0.1
